Program/Initiative,Year,Title,Artist,Partner,Site Location,Borough,Site Type,Project Type,Latitude,Longitude,Installation,Removal
Arterventions,2021,Broadway Lamppost Art,Frances Smith & Michelle Weinberg,Downtown Alliance + ArtBridge,Sixty-five pedestrian street light pole locations along Broadway between Murray Street and Beaver Street,Manhattan,Pedestrian Street Light Pole,Vinyl,40.7132325160382,-74.007130810147,09/14/2021,
Arterventions,2023,Buggy Bear Goes on a Cool Cruise,Alake Shilling,Meatpacking BID + Whitney Museum of American Art,10th Avenue between Gansevoort Street and Horatio Street,Manhattan,Plaza,Asphalt Mural,40.7391268079238,-74.0096216198942,09/11/2023,08/11/2024
Arterventions,2024,Dumboween,Motomichi,DUMBO BID,"Manhattan Bridge Anchorage at Pearl Street and Water Street, Manhattan Bridge Anchorage at Adams Street",Brooklyn,Bridge,Projection,40.7030316036708,-73.9877219196519,10/25/2024,10/31/2024
Special Projects,2024,Keep NYC Green,Lyubava Kroll,NYC DOT,"East 188th Street from East Fordham Road to Grand Concourse & Creston Avenue, 5th Avenue from 40th Street to 45th Street, Dyckman Street from Broadway to La Marina, Broadway from 17th Street to 46th Street, St. Nicholas Avenue from 181st Street to 190th S",All boroughs,Pedestrian Street Light Pole,Signage,,,04/20/2024,
Arterventions,2021,Light Year,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,,
Arterventions,2022,Fat Boy,Leonard Ursachi,DUMBO BID,Intersection of York Street and Pearl Street,Brooklyn,Triangle,Sculpture,40.7017522842921,-73.9876962934939,10/24/2022,09/24/2023
Community Commissions,2019,"Dappled Light, Shifting Shadows",Katie Westmoreland,161st Street BID,Pedestrian Walkway at East 161st Street between Gerard Avenue and Concourse Village West,Bronx,Bridge Wall,Mural,40.8277301884245,-73.9248319112695,09/16/2019,08/16/2020
Arterventions,2021,Letters to 125th Street,Marcie Revens,GOH Production/Art in Odd Places,125th Street between 12th Avenue and 3rd Avenue,Manhattan,Sidewalk,Interactive,40.8180448484782,-73.9604093888834,,
Arterventions,2021,"Timing, Inner Dialogue & Listen",Jim Rennert,Cavalier Galleries,Pershing Square Plaza West on Park Avenue between E 41st Street and E 42nd Street,Manhattan,Plaza,Sculpture,40.7517765264595,-73.9777958940006,,
Arterventions,2023,Echoes - A VoiceFrom Uncharted Waters,Mathias Gmachl,Garment District Alliance,Broadway between West 39th Street and West 40th Street,Manhattan,Plaza,Sculpture,40.7540264056757,-73.9870323583611,09/13/2023,11/17/2023
Special Projects,2023,191st Street Tunnel Beautification Project,Carla Torres,NYC DOT,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Tunnel,Mural,40.8565738222174,-73.9325673501386,09/23/2023,08/23/2024
Asphalt Art Activations,2022,Asphalt Art Activations 2022,Ansley Randall,NYC DOT School Safety,Intersection of Amsterdam Avenue and W 190th Street and intersection of St. Nicholas Avenue and W 190th Street,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.853835015679,-73.9268721392179,,
Art Display Case Exhibits,2022,When We See Us,Various Artists,Souls in Focus,Water Street between Wall Street and Pearl Street and Gouverneur Lane between Water Street and Front Street,Manhattan,Sidewalk,Art Display Cases,40.7053225417399,-74.0074102236538,09/26/2022,06/26/2023
Arterventions,2021,2021 Photoville Recap,Photoville + Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,11/26/2021,12/01/2021
Community Commissions,2024,Public Access,Mollie Hosmer-Dillard,On Your Mark,Pedestrian space at Victory Avenue and Corson Boulevard,Staten Island,Asphalt Pedestrian Space,Asphalt Mural,40.6384489598703,-74.0787725249762,10/03/2024,09/03/2025
Arterventions,2023,Cracked Ice,Del Geist,Garment District Alliance,Broadway Plaza between 39th Street and 40th Street,Manhattan,Plaza,Sculpture,40.7538558813402,-73.9871491208021,11/26/2023,03/16/2024
Arterventions,2023,Reclaiming the Shakespeare Steps,"Natalie Caro, Yorknam Lam, and Chloe Huang",CITYarts Inc.,West 167th street between Anderson Avenue and Shakespeare Avenue,Bronx,Step Street,Mural,40.8358925012987,-73.9238924093915,10/04/2023,09/04/2023
Arterventions,2023,Living Lantern,Neon and Frankie Boyle Studios,Garment District Alliance,Broadway Plaza between 39th Street and 40th Street,Manhattan,Plaza,Sculpture,40.7538558813402,-73.9871491208021,01/13/2023,02/17/2023
Arterventions,2022,Primary Directional,Liz Collins,DUMBO BID,"Pearl Street Triangle, Anchorage Place",Brooklyn,Plaza,Asphalt Mural,40.7035281131995,-73.9878214892253,09/12/2022,04/15/2023
Arterventions,2024,FNP Bike Barrier Beautification Mural,Marie Saint-Cyr,Flatiron NoMad Partnership,Bike Barrier at 25th Street between Broadway and Fifth,Manhattan,Jersey Barriers,Mural,40.742961573389,-73.9886463731783,10/25/2024,09/25/2025
Special Projects,2023,Summer Streets Art and Culture Hub,Various,NYC DOT,"Vernon Boulevard, from 44th Drive to 30th Road, Richmond Terrace, from York Avenue to Bard Avenue, Lafayette Street and Park Avenue to 109th Street, Central Park North from Fifth Avenue to Adam Clayton Powell Boulevard, Adam Clayton Powell Boulevard from",All boroughs,Car-Free Event,Various,,,08/01/2023,08/31/2023
Art Partners,2025,Los Circulos,Marvel,Van Alen Institute and CLOTH,Plaza de las Americas,Manhattan,Plaza,Lighting Intervention,40.8460688,-73.9407075,09/15/2005,08/08/2026
Arterventions,2022,"Hippo Ballerina, Hippo Ballerina Pirouette & Harlequin Pirouette",Bjorn Skaarup,Cavalier Galleries + Grand Central Partnership,Pedestrian plaza at Pershing Square West at Park Avenue between E 41st Street and E 42 Street,Manhattan,Plaza,Sculpture,40.7518491361029,-73.9777741093818,05/02/2022,
Barrier Beautification,2021,Caribbean Breeze,Marie Saint-Cyr,NYC DOT,Columbia Street between Atlantic Avenue and Congress Street,Brooklyn,Jersey Barriers,Mural,40.6918330316333,-73.9994963960206,05/01/2021,
Arterventions,2021,"Murals for the Movement: Back to the Essense, Brooklyn",Victor Quinonez,DUMBO BID and Street Theory Gallery,Gold Street and Sands Street,Brooklyn,Bridge,Mural,40.7000430562896,-73.9829054061559,10/01/2021,
Arterventions,2022,Passage,Serge Maheu + Creos,Garment District Alliance,Broadway between 39th Street and 40th Street,Manhattan,Plaza,Interactive,40.7538558813402,-73.9871491208021,01/08/2022,02/13/2022
Arterventions,2021,Colored Girls,Loki Circus Theater,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,10/15/2021,
Arterventions,2021,Murals for the Movement: LOVE,Cey Adams,DUMBO BID and Street Theory Gallery,Intersection of Prospect Street and Adams Street,Brooklyn,Bridge,Mural,40.7008528510765,-73.9886641369653,10/01/2021,
Arterventions,2023,"Kneeler, Animal With Rider, Two Together",Joy Brown,Garment District Alliance,Broadway Plaza between 39th Street and 40th Street,Manhattan,Plaza,Sculpture,40.7538558813402,-73.9871491208021,06/05/2023,09/06/2023
Arterventions,2019,Ziggy,Hou de Sousa,Flatiron NoMad Partnership,Flatiron Plaza North on Broadway between 23rd Street and 24th Street,Manhattan,Plaza,Sculpture,40.741646075528,-73.9892434245776,11/15/2019,01/02/2020
Arterventions,2021,Beauty Comes in Many Forms,Demetrius Felder,Groundswell Community Mural Project,Dorchester Road between Malborough Road and E 16th Street,Brooklyn,Bridge,Mural,40.6393041530814,-73.9640590733889,10/04/2021,
Arterventions,2022,In Honor of Black History Month,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7030316036708,-73.9877219196519,02/26/2022,02/26/2022
Arterventions,2023,Terrain Park,Ann Tarantino,Downtown Brooklyn Partnership,Willoughby Shared Street,Brooklyn,Asphalt Pedestrian Space,Asphalt Mural,40.6919703418907,-73.988281438608,05/10/2023,04/10/2024
Arterventions,2023,The Buried Brook,Kamala Sankaram,City as Living Laboratory (CALL),"West 230th Street and Tibbett Avenue, West 240th Street and Tibbett Avenue, and",Bronx,Pedestrian Street Light Pole,Signage,40.8796651670743,-73.909690986566,10/27/2023,04/27/2024
Art Partners,2025,New York Roots,Steve Tobin,Garment District Alliance,Broadway between West 39th Street and West 41st Street,Manhattan,Plaza,Sculpture,40.7540264056757,-73.9870323583611,04/01/2025,03/01/2026
Art Partners,2025,Shakespeare Step Up!,Fiona Agababian,CITYarts Inc.,West 167th street between Anderson Avenue and Shakespeare Avenue,Bronx,Step Street,Mural,40.8358925012987,-73.9238924093915,08/04/2025,07/04/2026
Arterventions,2021,Creative Climate Awards,Human Impacts Institute,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,10/14/2021,
Special Projects,2023,191st Street Tunnel Beautification Project,Vicky Azcoitia,NYC DOT,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Tunnel,Mural,40.8565738222174,-73.9325673501386,09/23/2023,08/23/2024
Arterventions,2021,Transformations,Hacer,Garment District Alliance,"Garment District Plaza, Broadway between 37th Street and 39th Street",Manhattan,Plaza,Sculpture,40.7523090526084,-73.9873846679085,09/12/2021,
Art Display Case Exhibits,2021,Questions,Abigail Reyes,Swiss Institute + the Village Alliance,Astor Place bwtn Lafayette Street and Broadway,Manhattan,Sidewalk,Art Display Cases,40.7578800647805,-73.945835453308,,
Barrier Beautification,2020,"Oranges from Durazzano, Italy",Zara Stasi,NYC DOT,Shore Parkway between Bay Parkway and W 22nd Street,Brooklyn,Jersey Barriers,Mural,40.59361861515,-73.9968868304548,10/17/2020,09/17/2021
Arterventions,2021,Spectrum,Kim Carlino,Garment District Alliance,7th Avenue between 34th Street and 42nd Street,Manhattan,Concrete Barriers,Mural,40.7511317318408,-73.9907017982049,,
Asphalt Art Activations,2022,4 Regions,Carla Torres,NYC DOT School Safety,"Intersection of Wren Place, Rex Road and 175th Street",Queens,Asphalt Pedestrian Space,Asphalt Mural,40.7003131286877,-73.7813241057446,09/28/2022,08/28/2023
Arterventions,2021,Whenever/Wherever We Can,Olalekan Jeyifous,Meatpacking BID + ARTNOIR,Gansevoort Plaza at the intersection of Gansevoort Street and Ninth Avenue,Manhattan,Plaza,Sculpture,40.7397199106048,-74.0061942775785,08/10/2021,11/01/2021
Community Commissions,2021,Skywave,Julia Sinelnikova,Local Development Corporation of East New York,Broadway Junction intersection of Fulton Street and Van Sinderen Avenue,Brooklyn,Sidewalk,Sculpture,40.6779632454931,-73.9033064969616,06/16/2021,07/23/2021
Arterventions,2024,THE DUMBO PROJECTION PROJECT,Various Artists,DUMBO BID,"Manhattan Bridge Anchorage at Pearl Street and Water Street, Manhattan Bridge Anchorage at Adams Street, Brooklyn-Queens Expressway wall",Brooklyn,Bridge Wall,Projection,40.7030316036708,-73.9877219196519,01/06/2024,04/20/2024
Art Partners,2025,Love Continuum,Yoni Alter,Union Square Partnership,University Place between 13th and 14th Streets,Manhattan,Plaza,Sculpture,40.7347073909289,-73.9921779406043,02/19/2025,
Community Commissions,2025,Limes,Alumbra,I AM Caribbeing,Washington Empire Plaza,Brooklyn,Plaza,Sculpture,40.663482529121,-73.9609781000087,05/31/2025,04/30/2026
Arterventions,2024,1FLUSS,BOICUT,Downtown Brooklyn Partnership,"Pearl Street between Fulton Street and Willoughby Street, Jay Street between Willoughby Street and Johnson Street, Bridge Street between Fulton Street and Willoughby Street, Hoyt Street between Schermerhorn Street and Fulton Street, Elm Place between Livi",Brooklyn,Asphalt Pedestrian Space,Asphalt Mural,40.41289,-73.59074,04/30/2024,03/30/2024
Arterventions,2020,Doggy Bags,Will Kurtz,Garment District Alliance,"Garment District Plazas, Broadway, 37th-38th, 38th-39th, 40th-41st Streets",Manhattan,Plaza,Sculpture,40.7523090526084,-73.9873846679085,09/13/2020,11/22/2020
Special Projects,2024,To follow the Way is to cherish nature—道在于珍惜自然 — To follow the Way is to cherish life—道在于珍惜生命,Deanna Lee,NYC DOT Public Realm Unit,Park Row and Frankfort Street,Manhattan,Fence,Vinyl,40.7120112865338,-74.0058260103108,12/13/2024,
Asphalt Art Activations,2019,Connected Stories,Dan Monteavaro (Moncho1929),Chinatown Partnership,Doyers Street between Pell Street and Bowery,Manhattan,Seasonal Street,Asphalt Mural,40.714365954853,-73.9979441897312,07/16/2019,08/31/2019
Art Partners,2025,The Hero's Journey,Isolina Minjeong,Downtown Brooklyn Partnership,"Pearl Street between Fulton Street and Willoughby Street, Jay Street between Willoughby Street and Johnson Street, Bridge Street between Fulton Street and Willoughby Street, Hoyt Street between Livingston Street and Fulton Street, Elm Place between Living",Brooklyn,Asphalt Pedestrian Space,Asphalt Mural,40.41289,-73.59074,06/09/2025,05/09/2026
Asphalt Art Activations,2023,The Sun Also Rises,Priscila De Carvalho,NYC DOT Public Space Unit,34th Avenue between 89th Street and 90th Street,Queens,Asphalt Pedestrian Space,Asphalt Mural,40.7545118741566,-73.8780720600781,09/19/2023,08/01/2024
Arterventions,2022,Faces of the Wild,Gillie & Marc,Village Alliance,Ruth E. Wittenberg Triangle on 6th Avenue between W 8th Street and W 9th Street,Manhattan,Triangle,Sculpture,40.7341487219487,-73.9994855469371,04/01/2022,07/31/2022
Special Projects,2025,Rising. Curtains.,Anjali Deshmukh and Ernest Verrett,NYC DOT,5th Avenue between 44th and 45th Streets,Brooklyn,Asphalt Pedestrian Space,Sculpture,40.6486329794023,-74.0068404674686,04/26/2025,04/26/2026
Special Projects,2019,Harlem Sunrise Extended,Gena Lozano,Uptown Grand Central,125th Street Plaza on 125th Street and Park Avenue,Manhattan,Plaza,Construction Fence Banner Wrap,40.8113681496039,-73.9531515434616,12/13/2019,02/01/2021
Special Projects,2023,Summer Streets Art Stop Illustrations,Angel Garcia,NYC DOT,"Vernon Boulevard, from 44th Drive to 30th Road, Richmond Terrace, from York Avenue to Bard Avenue, Lafayette Street and Park Avenue to 109th Street, Central Park North from Fifth Avenue to Adam Clayton Powell Boulevard, Adam Clayton Powell Boulevard from",All boroughs,Car-Free Event,Sculpture,,,08/01/2023,08/31/2023
Asphalt Art Activations,2024,UpFlow,Craig Anthony Miller,NYC DOT School Safety,Williams Avenue and Stanley Road,Brooklyn,Asphalt Pedestrian Space,Asphalt Mural,40.6541123777335,-73.8946967506745,09/04/2024,08/04/2025
Arterventions,2020,Migration,Madjeen Isaac,Haiti Cultural Exchange,Caton Avenue between Ocean Avenue and St. Paul’s Place,Brooklyn,Fence,Mural,40.6523127584493,-73.9614592236394,09/08/2020,
Art Partners,2025,The Mothership Connection,Zak Ove,Meatpacking BID,14th Street Square,Manhattan,Plaza,Sculpture,40.7409728,-74.0079825,08/30/2025,11/15/2025
Arterventions,2022,"Bit, Bridle & Reins",Steed Taylor,Garment District Alliance,Concrete barriers along the 7th Avenue corridor between 34th Street and 42nd Street,Manhattan,Concrete Barriers,Vinyl,40.7511602341433,-73.9906857087259,05/31/2022,
Art Partners,2025,Shop Fordham,Laura Alvarez Fernandez,Fordham Road BID,"Pedestrianized asphalt space abutting Muller Triangle at East Fordham Road, Creston Avenue, and East 190th Street",Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.8626464673161,-73.8980776268588,05/01/2025,04/01/2026
Barrier Beautification,2022,Barrier Beautification,Adina & Layqa,NYC DOT Bike Unit,Northern Boulevard between 31st Street and Honeywell Street,Queens,Jersey Barriers,Mural,40.7517356784809,-73.9337905798552,,
Arterventions,2021,Beacon,Beam Center Collective,Downtown Brooklyn Partnership + Beam Center,Albee Square at Fulton Street between Bond Street and Albee Square West,Brooklyn,Plaza,Sculpture,40.6900707714504,-73.9836440979025,,
Arterventions,2023,Human Impacts Institute,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7030316036708,-73.9877219196519,05/06/2023,05/06/2023
Art Display Case Exhibits,2019,NYC Commission on Human Rights,Tatyana Fazlalizadeh,NYC Commission on Human Rights,Lenox Avenue between 124th street and 125th  street,Manhattan,Sidewalk,Art Display Cases,40.8072047733015,-73.9460942853113,07/25/2019,12/07/2018
Asphalt Art Activations,2019,Cast Into the Deep,Annabelle Popa,NYC DOT,Columbia Street and Dwight Street,Brooklyn,Asphalt Pedestrian Space,Asphalt Mural,40.6790099467726,-74.0057462379666,07/30/2019,06/30/2020
Arterventions,2022,Dancer,Tomokazu Matsuyama,"The Armory Show, Flatiron NoMad Partnership, Kavi Gupta Gallery","Flatiron Plaza South, Broadway between 22nd Street and 23rd Street",Manhattan,Plaza,Sculpture,40.740970984557,-73.9895785514597,08/29/2022,11/07/2022
Arterventions,2023,New Beginnings,Street Plans,Park to Park 103,West 103rd between Amsterdam Avenue and Riverside Drive,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.798722231982,-73.9670770762656,11/03/2023,10/03/2024
Arterventions,2024,Under the Bruckner,Various Artists,Youth Ministries for Peace and Justice,Pedestrian space beneath the Bruckner Expressway on Bronx River,Bronx,Plaza,Sculpture,40.8231717708417,-73.882780435262,07/14/2024,02/14/2025
Special Projects,2024,The Beauty of Four Life Essentials 衣食住行之美,Chenlin Cai,NYC DOT Public Realm Unit,"Madison Street and Rose Street, St. James Place and Pearl Street, and St. James Place and Madison Street",Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.7119540756113,-73.9997109,10/23/2024,09/23/2025
Arterventions,2022,In Their Hands: Women Taking Ownership of Peace,"Maimana El Hassan, Maura Ajak, Leila Thiam, Samy Vasquez, Kani Sissoko, Ley Uwera, Hana Haza’a, Heba Naji, Ola Mohsin, Rawan Mazeh, Deisy and Tellez Giraldo",Downtown Brooklyn Partnership + Photoville,Albee Square Plaza located at Fulton Street between Bond Street and Albee Square West,Brooklyn,Plaza,Sculpture/Photography,40.689145235757,-73.9829104075409,03/08/2022,03/20/2022
Arterventions,2024,Creative Climate Awards 2024,Various Artists,DUMBO BID,"Manhattan Bridge Anchorage at Pearl Street and Water Street, Manhattan Bridge Anchorage at Adams Street",Brooklyn,Bridge Wall,Projection,40.7030316036708,-73.9877219196519,04/21/2024,04/28/2024
Arterventions,2021,Brasil Summerfest,Alice Quaresma and Chiara Banfi,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,07/09/2021,07/10/2021
Community Commissions,2019,King and Queen Sized Bench,Jason Wallace,Washington Heights BID,Dyckman Street and Riverside Drive,Manhattan,Sidewalk,Sculpture,40.8656617469136,-73.9272407090241,09/17/2019,10/17/2020
Arterventions,2024,The Big Apple,LeMonde Studio,Downtown Jamaica Partnership,Parsons Boulevard between Jamaica Avenue and Archer Avenue,Queens,Sidewalk,Sculptural Seating,40.7056576074828,-73.7949129221524,11/07/2024,02/28/2025
Arterventions,2024,Revitalizing the Shakespeare Steps,"Fiona Agababian, Daryl Daniels, and Alice Mizrachi",CITYarts Inc.,West 167th street between Anderson Avenue and Shakespeare Avenue,Bronx,Step Street,Mural,40.8358925012987,-73.9238924093915,08/12/2024,07/12/2024
Arterventions,2020,Point of Action,Studio Cooke John,Flatiron NoMad Partnership,Flatiron North and South Plazas on Broadway between 22nd Street and 23rd Street and 23rd Street and 24th Street,Manhattan,Plaza,Interactive,40.741646075528,-73.9892434245776,,
Arterventions,2020,Concrete Connection,Richard Chance,Interboro Partners LLC,Westchester Avenue and Sheridan Expressway,Bronx,Fence,Painted Panels,40.828299575098,-73.8840115968071,10/12/2020,
Barrier Beautification,2021,Flood,Kelie Bowman,NYC DOT,Vernon Boulevard between 40th Avenue and 30th Road,Queens,Jersey Barriers,Mural,40.7578964651386,-73.9458247255259,05/01/2021,
Arterventions,2019,Hippo Ballerina: First Steps,Bjorn Skaarup,Cavalier Galleries,Flatiron Plaza South on Broadway between 22nd Street and 23rd Street,Manhattan,Plaza,Sculpture,40.7411258331884,-73.9893829189512,08/23/2019,11/30/2019
Special Projects,2025,Asphalt Asters,Molly Gambardella,NYC DOT,Broadway between 22nd Street and 23rd Street,Manhattan,Asphalt Pedestrian Space,Sculpture,40.7407884442601,73.9894499999998,04/26/2025,04/26/2026
Arterventions,2021,At Home Heroes,Photoville,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,,
Arterventions,2020,Rockaway Wellness Corridor: Walk this Way,Jeff Beler,Rockaway Waterfront Alliance d/b/a RISE: Rockaway Initiative for Sustainability & Equity,Rockaway Freeway between Beach 59th Street and Beach 62nd Street,Queens,Asphalt Pedestrian Space,Asphalt Mural,40.5925584548516,-73.7890389829977,10/04/2020,
Arterventions,2023,Poetry &: Worker Writers School,Various Artists,Dia Art Foundation,Brooklyn Bridge Anchorage facing Brooklyn Bridge Park's Emily Roebling Plaza on Water Street and New Dock Street,Brooklyn,Bridge,Projection,40.7042624332063,-73.9941102266017,05/01/2023,05/01/2023
Barrier Beautification,2022,Barrier Beautification,Alexis Gallo,NYC DOT Bike Unit,Jersey Barriers along 20th Street between 7th Avenue and 10th Avenue and 10th Avenue between 19th Street and 20th Street,Brooklyn,Jersey Barriers,Mural,40.6594319424859,-73.9884563951133,06/23/2022,
Barrier Beautification,2020,Chromatic Circles,Otra Ciudad,NYC DOT,Franklin Street between Quay Street and N 14th Street in Greenpoint,Brooklyn,Jersey Barriers,Mural,40.7264380169586,-73.9573433622369,10/23/2020,
Arterventions,2022,Meanwhile,Street Plans Collaborative/John Gonzalez,Chinatown Partnership,"Doyers Street Plaza, Doyers Street between Pell Street and Bowery",Manhattan,Plaza,Asphalt Mural,40.7145472128173,-73.9978788194459,10/18/2022,09/18/2023
Arterventions,2019,Light Year 2019,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,01/01/2019,12/01/2019
Special Projects,2023,191st Street Tunnel Beautification Project,Rasheeda Johnson,NYC DOT,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Tunnel,Mural,40.8565738222174,-73.9325673501386,09/23/2023,08/23/2024
Art Display Case Exhibits,2023,Harlem is … Healing,Clara Schwadron,"Community Works NYC, New Heritage Theatre Group",St. Nicholas Avenue between W 120th Street and W 121 Street,Manhattan,Sidewalk,Art Display Cases,40.8068591170923,-73.9528262791772,05/02/2023,08/01/2023
