Program/Initiative,Year,Title,Artist,Partner,Site Location,Borough,Site Type,Project Type,Latitude,Longitude,Installation,Removal
Special Projects,2012,Battle Pass,Sasha Chavchavadze,Proteus Gowanus,Bergen St. & Smith St.,Brooklyn,Sidewalk,Sculpture,40.686733,-73.990461,04/03/2012,03/03/2013
Special Projects,2012,We Live Here,Crystal Bruno,NYC DOT Safety Education and Groundswell Community Mural Project,4th Ave. & 25th St.,Brooklyn,Building,Mural,40.660612,-73.9983,04/01/2012,04/01/2013
Special Projects,2012,Yield in the Name of Creativity,Yana Dimitrova,NYC DOT Safety Education and Groundswell Community Mural Project,Granger St. & Horace Harding Expwy,Queens,Building,Mural,40.737593,-73.852794,04/01/2012,04/01/2013
Arterventions,2012,For Closure,Gabriela Salazar,Bronx River Art Center and Build it Green NYC,E Tremont Ave. & Boston Rd.,Bronx,Plaza,Sculpture,40.840116,-73.880239,03/31/2012,03/01/2013
Community Commissions,2012,"When it Opens Like This, Up is Not Over",Rena Leinberger,International Studio and Curatorial Program,Queens Plaza S. & Vernon Blvd.,Queens,Fence,Intervention,40.75434,-73.949355,01/25/2012,12/25/2012
Special Projects,2011,Curbside Haiku,John Morse,NYC DOT Safety Education,Various sites citywide,All boroughs,Pedestrian Street Light Pole,Signage,40.690167,-73.989175,11/15/2011,10/15/2012
Arterventions,2011,Flaming Cactus 2,Animus Arts Collective,Hudson Square BID,Hudson Square / Various sites,Manhattan,Pedestrian Street Light Pole,Intervention,40.72736,-74.007289,11/01/2011,02/01/2012
Arterventions,2011,Seed Labyrinth,Sara Jones,LaGuardia Corner Gardens,505 LaGuardia Place,Manhattan,Sidewalk,Intervention,40.727235,-73.999046,11/01/2011,10/01/2012
Community Commissions,2011,Lincoln Road Serape,Katherine Daniels,LinRoFORMA,Lincoln Rd. btwn Flatbush Ave. & Ocean Ave.,Brooklyn,Fence,Intervention,40.660729,-73.961869,11/01/2011,10/01/2012
Barrier Beautification,2011,Seasonal References,Amy Madden,"New York Cares, NYC Mayor's Community Affairs Unit",Fort Hamilton Pkwy btwn E 5th St. & Park Circle,Brooklyn,Barrier,Mural,40.650319,-73.974305,10/22/2011,09/22/2012
Barrier Beautification,2011,Planes A-Way,Almond Zigmund,"New York Cares, NYC Mayor's Community Affairs Unit",Williamsburg St. West btwn Kent Ave. & Flushing Ave.,Brooklyn,Barrier,Mural,40.699712,-73.962424,10/22/2011,09/22/2012
Community Commissions,2011,Color and Collaboration: A Fibonacci Series,Ruth Lande Shuman,Publicolor,21st St. btwn 47th Rd. & 49th Ave.,Queens,Bridge Wall,Mural,40.743145,-73.949009,10/16/2011,09/16/2012
Community Commissions,2011,The Urban Field Glass,Rebecca Hackemann,New York Foundation for the Arts,"South St. & Peck Slip, Washington St. & Prospect St.",Manhattan/Brooklyn,Sidewalk,Interactive,40.707428,-74.001038,09/15/2011,08/15/2012
Arterventions,2011,1000 Steps Along Broadway,Mary Miss Studio,Montefiore Park Association,137th St. & Broadway,Manhattan,Triangle,Sculpture,40.821397,-73.954117,09/01/2011,12/02/2011
